iter	Passed	Remaining
292	20814	50223
293	20884	50152
294	20965	50104
295	21029	50015
296	21102	49948
297	21178	49890
298	21208	49722
299	21289	49676
300	21358	49599
301	21428	49526
302	21504	49466
303	21555	49351
304	21642	49315
305	21721	49263
306	21800	49210
307	21871	49138
308	21947	49080
309	22026	49026
310	22097	48956
311	22173	48894
312	22243	48822
313	22334	48793
314	22410	48734
315	22481	48662
316	22554	48595
317	22632	48539
318	22703	48467
319	22784	48417
320	22862	48359
321	22925	48271
322	22994	48195
323	23070	48134
324	23143	48067
325	23236	48041
326	23318	47991
327	23386	47912
328	23467	47861
329	23557	47828
330	23648	47796
331	23728	47743
332	23817	47706
333	23899	47655
334	23964	47571
335	24042	47513
336	24126	47466
337	24190	47379
338	24279	47342
339	24348	47265
340	24422	47198
341	24495	47128
342	24578	47078
343	24660	47026
344	24748	46986
345	24814	46903
346	24886	46831
347	24956	46758
348	25029	46687
349	25113	46638
350	25178	46555
351	25246	46476
352	25316	46401
353	25393	46339
354	25471	46278
355	25549	46219
356	25609	46126
357	25683	46058
358	25750	45977
359	25808	45881
360	25888	45825
361	25956	45745
362	26025	45670
363	26107	45616
364	26175	45537
365	26252	45475
366	26324	45404
367	26411	45358
368	26484	45289
369	26565	45232
370	26662	45204
371	26735	45133
372	26809	45066
373	26886	45003
374	26971	44952
375	27048	44889
376	27123	44822
377	27196	44752
378	27263	44672
379	27331	44593
380	27395	44508
381	27477	44453
382	27548	44378
383	27628	44320
384	27701	44251
385	27773	44179
386	27855	44123
387	27937	44066
388	28009	43994
389	28079	43919
390	28154	43851
391	28209	43753
392	28289	43693
393	28367	43631
394	28438	43558
395	28523	43505
396	28607	43452
397	28677	43376
398	28745	43298
399	28822	43233
400	28890	43156
401	28967	43090
402	29035	43013
403	29108	42941
404	29193	42888
405	29282	42841
406	29366	42787
407	29442	42720
408	29519	42655
409	29607	42605
410	29665	42513
411	29742	42447
412	29822	42386
413	29899	42321
414	29964	42238
415	30040	42172
416	30121	42112
417	30188	42033
418	30266	41968
419	30340	41899
420	30405	41816
421	30475	41741
422	30546	41667
423	30624	41603
424	30693	41527
425	30773	41464
426	30840	41386
427	30919	41322
428	31000	41261
429	31084	41205
430	31156	41132
431	31239	41073
432	31307	40996
433	31384	40930
434	31470	40875
435	31546	40808
436	31632	40752
437	31705	40681
438	31786	40620
439	31862	40552
440	31943	40490
441	32022	40426
442	32093	40352
443	32148	40258
444	32210	40173
445	32263	40076
446	32345	40015
447	32418	39944
448	32474	39851
449	32556	39791
450	32616	39703
451	32694	39637
452	32776	39577
453	32853	39510
454	32922	39434
455	33013	39384
456	33082	39308
457	33164	39247
458	33243	39182
459	33312	39105
460	33379	39027
461	33454	38957
462	33526	38885
463	33609	38825
464	33676	38745
465	33738	38661
466	33807	38584
467	33885	38519
468	33962	38452
469	34027	38370
470	34091	38289
471	34172	38226
472	34246	38155
473	34338	38105
474	34425	38049
475	34522	38003
476	34602	37939
477	34676	37868
478	34755	37803
479	34823	37725
480	34878	37633
481	34949	37560
482	35033	37499
483	35112	37433
484	35185	37361
485	35254	37285
486	35317	37203
487	35386	37126
488	35451	37046
489	35513	36963
490	35584	36888
491	35664	36824
492	35742	36757
493	35819	36689
494	35898	36624
495	35977	36557
496	36056	36492
497	36137	36427
498	36192	36337
499	36264	36264
500	36331	36186
501	36432	36141
502	36511	36075
503	36586	36005
504	36665	35938
505	36739	35868
506	36805	35789
507	36881	35719
508	36964	35657
509	37045	35592
510	37121	35523
511	37183	35440
512	37268	35379
513	37350	35315
514	37417	35237
515	37488	35163
516	37552	35083
517	37633	35017
518	37709	34948
519	37775	34870
520	37852	34801
521	37917	34721
522	37994	34652
523	38067	34580
524	38151	34518
525	38206	34429
526	38281	34359
527	38348	34281
528	38409	34198
529	38482	34126
530	38554	34052
531	38639	33991
532	38702	33910
533	38767	33830
534	38861	33776
535	38943	33711
536	39022	33645
537	39092	33570
538	39162	33494
539	39245	33431
540	39318	33359
541	39389	33285
542	39455	33206
543	39536	33141
544	39597	33058
545	39676	32991
546	39748	32917
547	39816	32841
548	39890	32769
549	39967	32701
550	40039	32627
551	40100	32545
552	40166	32467
553	40239	32395
554	40328	32335
555	40394	32257
556	40445	32167
557	40513	32091
558	40592	32023
559	40667	31952
560	40740	31881
561	40824	31816
562	40907	31752
563	40988	31686
564	41058	31611
565	41121	31531
566	41198	31462
567	41271	31389
568	41357	31326
569	41423	31249
570	41516	31191
571	41593	31122
572	41650	31038
573	41722	30964
574	41791	30889
575	41859	30812
576	41933	30741
577	42011	30672
578	42082	30599
579	42146	30519
580	42230	30455
581	42307	30385
582	42397	30325
583	42481	30260
584	42564	30195
585	42644	30127
586	42735	30067
587	42800	29989
588	42882	29922
589	42953	29849
590	43027	29777
591	43110	29710
592	43189	29642
593	43260	29568
594	43346	29505
595	43415	29429
596	43487	29356
597	43562	29284
598	43649	29220
599	43716	29144
600	43795	29075
601	43867	29002
602	43935	28926
603	44011	28855
604	44083	28781
605	44165	28714
606	44243	28645
607	44330	28581
608	44407	28511
609	44480	28438
610	44546	28361
611	44621	28289
612	44710	28226
613	44793	28160
614	44879	28095
615	44956	28024
616	45025	27949
617	45090	27871
618	45163	27798
619	45236	27725
620	45315	27656
621	45392	27585
622	45473	27517
623	45553	27448
624	45621	27372
625	45705	27306
626	45769	27227
627	45842	27154
628	45922	27085
629	45997	27014
630	46091	26953
631	46164	26880
632	46259	26820
633	46332	26747
634	46398	26669
635	46480	26601
636	46560	26533
637	46644	26466
638	46718	26393
639	46781	26314
640	46848	26238
641	46928	26169
642	46999	26094
643	47073	26021
644	47148	25949
645	47214	25872
646	47291	25802
647	47364	25728
648	47442	25658
649	47510	25582
650	47590	25513
651	47650	25433
652	47718	25357
653	47784	25280
654	47862	25210
655	47935	25137
656	47984	25051
657	48055	24977
658	48136	24908
659	48209	24835
660	48287	24764
661	48350	24686
662	48422	24612
663	48492	24538
664	48573	24469
665	48651	24398
666	48725	24326
667	48800	24253
668	48885	24187
669	48972	24120
670	49050	24050
671	49124	23977
672	49199	23905
673	49268	23830
674	49346	23759
675	49421	23687
676	49504	23618
677	49596	23554
678	49653	23474
679	49734	23404
680	49804	23329
681	49884	23259
682	49957	23186
683	50022	23109
684	50085	23032
685	50165	22962
686	50221	22880
687	50298	22809
688	50359	22731
689	50442	22662
690	50512	22588
691	50593	22518
692	50673	22448
693	50760	22381
694	50847	22314
695	50912	22237
696	50997	22169
697	51079	22100
698	51148	22025
699	51216	21950
700	51301	21881
701	51368	21806
702	51439	21731
703	51522	21662
704	51596	21589
705	51671	21517
706	51730	21438
707	51810	21368
708	51874	21291
709	51955	21221
710	52023	21145
711	52092	21070
712	52155	20993
713	52223	20918
714	52297	20846
715	52369	20772
716	52452	20702
717	52523	20628
718	52598	20556
719	52681	20487
720	52760	20416
721	52838	20344
722	52917	20274
723	52982	20197
724	53064	20127
725	53125	20050
726	53203	19978
727	53275	19905
728	53364	19837
729	53443	19766
730	53518	19694
731	53594	19621
732	53662	19547
733	53732	19472
734	53811	19401
735	53886	19328
736	53958	19255
737	54036	19183
738	54124	19115
739	54193	19041
740	54275	18970
741	54355	18899
742	54439	18830
743	54522	18760
744	54600	18688
745	54668	18613
746	54747	18542
747	54818	18468
748	54886	18393
749	54960	18320
750	55038	18248
751	55121	18178
752	55208	18109
753	55285	18037
754	55360	17964
755	55417	17886
756	55494	17814
757	55565	17739
758	55640	17667
759	55715	17594
760	55786	17520
761	55844	17442
762	55919	17369
763	55995	17297
764	56070	17224
765	56139	17149
766	56211	17076
767	56284	17002
768	56367	16932
769	56448	16861
770	56529	16790
771	56610	16719
772	56698	16650
773	56786	16580
774	56866	16509
775	56950	16439
776	57029	16367
777	57101	16293
778	57174	16220
779	57251	16147
780	57335	16077
781	57398	16001
782	57486	15931
783	57555	15857
784	57622	15781
785	57699	15709
786	57776	15637
787	57860	15566
788	57932	15492
789	58018	15422
790	58099	15351
791	58173	15278
792	58238	15202
793	58327	15132
794	58411	15062
795	58486	14988
796	58556	14914
797	58629	14841
798	58710	14769
799	58798	14699
800	58874	14626
801	58949	14553
802	59023	14480
803	59108	14409
804	59187	14337
805	59247	14260
806	59313	14185
807	59393	14113
808	59470	14040
809	59552	13969
810	59635	13897
811	59707	13824
812	59776	13749
813	59855	13676
814	59935	13604
815	60020	13533
816	60108	13463
817	60196	13393
818	60268	13319
819	60338	13245
820	60417	13172
821	60478	13096
822	60550	13022
823	60625	12949
824	60695	12874
825	60764	12800
826	60823	12723
827	60904	12651
828	60987	12580
829	61059	12506
830	61139	12433
831	61222	12362
832	61319	12293
833	61391	12219
834	61466	12146
835	61540	12072
836	61617	11999
837	61691	11926
838	61762	11851
839	61843	11779
840	61907	11704
841	61984	11631
842	62048	11555
843	62109	11480
844	62189	11407
845	62281	11337
846	62354	11263
847	62427	11189
848	62507	11117
849	62575	11042
850	62654	10969
851	62727	10896
852	62806	10823
853	62878	10749
854	62950	10675
855	63032	10603
856	63104	10529
857	63183	10456
858	63258	10383
859	63331	10309
860	63382	10232
861	63457	10159
862	63536	10086
863	63618	10014
864	63696	9941
865	63775	9868
866	63857	9795
867	63930	9722
868	64006	9648
869	64072	9574
870	64151	9501
871	64233	9428
872	64300	9354
873	64375	9280
874	64457	9208
875	64540	9135
876	64611	9061
877	64684	8988
878	64758	8914
879	64822	8839
880	64894	8765
881	64964	8691
882	65037	8617
883	65108	8543
884	65185	8470
885	65259	8396
886	65335	8323
887	65424	8251
888	65497	8178
889	65587	8106
890	65660	8032
891	65733	7958
892	65800	7884
893	65883	7811
894	65962	7738
895	66041	7665
896	66113	7591
897	66182	7517
898	66254	7443
899	66340	7371
900	66414	7297
901	66496	7224
902	66568	7150
903	66644	7077
904	66717	7003
905	66793	6930
906	66871	6856
907	66948	6783
908	67030	6710
909	67104	6636
910	67201	6565
911	67260	6490
912	67335	6416
913	67410	6342
914	67491	6269
915	67568	6196
916	67649	6123
917	67731	6050
918	67806	5976
919	67873	5902
920	67954	5828
921	68031	5755
922	68117	5682
923	68195	5609
924	68270	5535
925	68364	5463
926	68430	5388
927	68513	5315
928	68593	5242
929	68661	5168
930	68743	5094
931	68825	5021
932	68894	4947
933	68967	4873
934	69044	4799
935	69122	4726
936	69184	4651
937	69263	4578
938	69341	4504
939	69405	4430
940	69477	4356
941	69565	4283
942	69640	4209
943	69719	4135
944	69808	4062
945	69889	3989
946	69955	3915
947	70042	3841
948	70126	3768
949	70195	3694
950	70266	3620
951	70336	3546
952	70425	3473
953	70506	3399
954	70568	3325
955	70637	3251
956	70720	3177
957	70811	3104
958	70890	3030
959	70972	2957
960	71045	2883
961	71116	2809
962	71202	2735
963	71286	2662
964	71366	2588
965	71452	2514
966	71518	2440
967	71585	2366
968	71662	2292
969	71732	2218
970	71811	2144
971	71882	2070
972	71954	1996
973	72029	1922
974	72103	1848
975	72174	1774
976	72254	1700
977	72340	1627
978	72419	1553
979	72489	1479
980	72561	1405
981	72635	1331
982	72715	1257
983	72789	1183
984	72868	1109
985	72942	1035
986	73032	961
987	73095	887
988	73169	813
989	73238	739
990	73333	665
991	73408	592
992	73483	518
993	73551	443
994	73636	370
995	73716	296
996	73790	222
997	73852	148
998	73939	74
999	74017	0
