iter	Logloss
0	0.6862206606
1	0.6803423528
2	0.6753300669
3	0.671010024
4	0.6671273819
5	0.6639981115
6	0.6611456077
7	0.6585853355
8	0.6562501294
9	0.6545474104
10	0.6529607447
11	0.6514341145
12	0.6503502881
13	0.6493076314
14	0.6479725998
15	0.6468616861
16	0.6461305168
17	0.6451454806
18	0.6443294645
19	0.6436129649
20	0.6429306975
21	0.6422716179
22	0.6416949895
23	0.6411361639
24	0.6405602768
25	0.6402179309
26	0.6398830533
27	0.6395304727
28	0.6391715962
29	0.6387990941
30	0.6383481399
31	0.638142446
32	0.6379308721
33	0.6376433577
34	0.6374012921
35	0.6370310333
36	0.6367002426
37	0.6365247651
38	0.6362946775
39	0.6360064916
40	0.6358451926
41	0.6356541825
42	0.6354666351
43	0.6352052138
44	0.6349391577
45	0.6347331824
46	0.6346354556
47	0.634566996
48	0.634364125
49	0.6340947324
50	0.6339610921
51	0.6337897227
52	0.6336500614
53	0.6335557098
54	0.6333566893
55	0.6332362284
56	0.6331039313
57	0.6330071099
58	0.6329292422
59	0.632780394
60	0.6326483404
61	0.6325365476
62	0.6324268965
63	0.6323627044
64	0.6322370323
65	0.6321424551
66	0.6319720213
67	0.631862959
68	0.6317677946
69	0.6316486432
70	0.6315419843
71	0.6314000299
72	0.6312889999
73	0.6312430629
74	0.6311880094
75	0.6310985028
76	0.6310032632
77	0.6309186632
78	0.6308559402
79	0.6308116214
80	0.6307300659
81	0.6306686107
82	0.6306244167
83	0.6305637283
84	0.6304848554
85	0.6304342642
86	0.6303629535
87	0.6303266511
88	0.6302417029
89	0.6301662871
90	0.6301185529
91	0.630062238
92	0.6300037025
93	0.6299593548
94	0.6298810701
95	0.6298148522
96	0.6298055273
97	0.6297571245
98	0.6296990697
99	0.6296520158
100	0.6295831178
101	0.6295457861
102	0.629467916
103	0.6294055899
104	0.6293406452
105	0.62926813
106	0.6292109204
107	0.629184705
108	0.6291669322
109	0.6291432212
110	0.6290676655
111	0.6289958959
112	0.6289861683
113	0.6289444586
114	0.6289181227
115	0.6288316638
116	0.6287502353
117	0.6287063307
118	0.6286722143
119	0.6286232336
120	0.6285626025
121	0.6285149989
122	0.628464073
123	0.6284250676
124	0.6283834751
125	0.6283442064
126	0.6282947987
127	0.6282451391
128	0.6282048216
129	0.6281383901
130	0.6281032915
131	0.6279938141
132	0.627962759
133	0.6279052022
134	0.6278903419
135	0.6278266901
136	0.6277961306
137	0.6277859418
138	0.6277689882
139	0.6277325572
140	0.6276380942
141	0.6276116527
142	0.6275603972
143	0.6274776769
144	0.6273874385
145	0.6272924946
146	0.6272357991
147	0.6272035529
148	0.6271593021
149	0.6270958558
150	0.6270533137
151	0.6270093387
152	0.6269658867
153	0.6269393948
154	0.6269168729
155	0.6268890255
156	0.6268285743
157	0.6267847565
158	0.6267609031
159	0.6267017629
160	0.6266272933
161	0.6265728383
162	0.6265217891
163	0.6264585358
164	0.6264151416
165	0.6263599114
166	0.6263062501
167	0.6262626558
168	0.626192704
169	0.6261633989
170	0.6261448539
171	0.6261068546
172	0.6260580621
173	0.6259628058
174	0.6259438744
175	0.6259113336
176	0.6258637844
177	0.6258069113
178	0.6257624589
179	0.6257478197
180	0.6256824635
181	0.6256637
182	0.6256501937
183	0.6255952734
184	0.6255116058
185	0.6254999861
186	0.625408203
187	0.625392036
188	0.6253524429
189	0.6253387503
190	0.6252826041
191	0.6252450186
192	0.6252195869
193	0.6251877305
194	0.6251618895
195	0.6251304855
196	0.6250862384
197	0.625026654
198	0.6249672343
199	0.6248903935
200	0.6248528907
201	0.6248318995
202	0.6247881327
203	0.6247675816
204	0.6247443961
205	0.6246877412
206	0.6246495993
207	0.6245997139
208	0.6245949496
209	0.6245243363
210	0.6245186412
211	0.6244975265
212	0.6244663473
213	0.6244355013
214	0.6244148234
215	0.6243829564
216	0.6243551911
217	0.6243406116
218	0.6242831546
219	0.624246696
220	0.6241961301
221	0.6241469019
222	0.6241020939
223	0.6240836775
224	0.6240578858
225	0.6240468659
226	0.6240112451
227	0.6239614072
228	0.6239278238
229	0.6238829246
230	0.6238271581
231	0.6238078507
232	0.6237865176
233	0.6237698067
234	0.6237424474
235	0.6237202906
236	0.6236853532
237	0.6236308032
238	0.6236156501
239	0.6235773141
240	0.6235492379
241	0.6235205096
242	0.6234872534
243	0.6234566776
244	0.6234315991
245	0.6233717231
246	0.6233524683
247	0.6233063345
248	0.6232744837
249	0.6232500879
250	0.6232061143
251	0.623168553
252	0.623122687
253	0.6230994892
254	0.6230568831
255	0.6230281273
256	0.6230118714
257	0.6229802527
258	0.6229376975
259	0.6229020383
260	0.6228439324
261	0.622805562
262	0.6227813083
263	0.6227514069
264	0.622673789
265	0.6226649451
266	0.622629212
267	0.6226018303
268	0.62258202
269	0.6225485936
270	0.6225280019
271	0.622504977
272	0.6224796145
273	0.6224412678
274	0.6224032317
275	0.6223812187
276	0.6223584462
277	0.6223391275
278	0.6223215493
279	0.6222713438
280	0.622242098
